# Tópicos 106, 109 e 110 (Desktop, Redes e Segurança) 
[LPIC-1] Qual é o principal arquivo de configuração do servidor X.org (X11)? | /etc/X11/xorg.conf;/etc/x11.conf;/etc/X11/X.conf;/usr/X11/xorg.conf;/etc/X11/xorg.ini
[LPIC-1] Qual comando é usado para iniciar manualmente uma sessão gráfica a partir do console (TTY)? | startx;xinit;xstart;runx;gui-on
[LPIC-1] Qual protocolo moderno está substituindo o X11, focando em segurança e performance? | Wayland;Mir;X12;Quartz;Waygate
[LPIC-1] Qual diretório contém os arquivos de configuração modular do X.org (arquivos .conf separados)? | /etc/X11/xorg.conf.d/;/etc/X11/modules/;/usr/X11/config.d/;/var/lib/X11/;/etc/X11/conf.d/
[LPIC-1] Qual comando exibe informações detalhadas sobre as extensões e a configuração atual do servidor X em execução? | xdpyinfo;xwininfo;glxinfo;xset;xhost
[LPIC-1] Qual comando permite ou nega que outros hosts se conectem ao servidor X local? | xhost;xallow;xauth;xaccess;xset
[LPIC-1] Qual variável de ambiente define para qual servidor X uma aplicação gráfica deve enviar sua saída? | DISPLAY;XSERVER;SCREEN;WINDOW;MONITOR
[LPIC-1] No comando 'export DISPLAY=192.168.1.10:0.0', o que o ':0.0' representa? | O primeiro display e a primeira tela;A porta de rede;O número do usuário;A versão do protocolo;O tempo de timeout
[LPIC-1] Qual comando é usado para editar as credenciais de autorização (cookies) do servidor X? | xauth;xkey;xcookie;xsec;xhost
[LPIC-1] Qual comando altera configurações do teclado e mouse no servidor X em tempo de execução? | xset e xmodmap;xset;xmodmap;xconfig;xinput
[LPIC-1] Qual gerenciador de exibição (Display Manager) é o padrão do ambiente GNOME? | GDM;KDM;LightDM;SDDM;XDM
[LPIC-1] Qual gerenciador de exibição é comumente associado ao ambiente KDE Plasma (versões atuais)? | SDDM;KDM;GDM;XDM;LightDM
[LPIC-1] Qual ambiente de desktop é conhecido por ser extremamente leve e ideal para hardware antigo? | Xfce;GNOME;KDE Plasma;Unity;Cinnamon
[LPIC-1] Qual comando permite realizar o "X11 Forwarding" via SSH, rodando apps gráficos remotos na tela local? | ssh -Y e ssh -X;ssh -G;ssh -Y;ssh -Z;ssh X
[LPIC-1] Qual ferramenta de acessibilidade permite que usuários com dificuldades motoras "prendam" teclas modificadoras (Shift/Ctrl)? | Sticky Keys (Teclas de Aderência);Slow Keys;Bounce Keys;Mouse Keys;Repeat Keys
[LPIC-1] Qual recurso de acessibilidade ignora pressionamentos de teclas rápidos e repetidos acidentalmente? | Bounce Keys (Teclas de Rejeição);Slow Keys;Sticky Keys;Toggle Keys;Filter Keys
[LPIC-1] Qual recurso de acessibilidade exige que uma tecla seja pressionada por um tempo mínimo antes de ser aceita? | Slow Keys (Teclas Lentas);Bounce Keys;Sticky Keys;Repeat Keys;Wait Keys
[LPIC-1] Qual ferramenta de acessibilidade permite controlar o cursor do mouse usando o teclado numérico? | Mouse Keys;Screen Reader;On-Screen Keyboard;Sticky Mouse;KeyMouse
[LPIC-1] Qual leitor de tela (screen reader) é o padrão para o ambiente GNOME? | Orca;BRLTTY;Emacspeak;Screen-Reader;G-Voice
[LPIC-1] Qual tecnologia permite que o Linux exiba Braille em dispositivos de saída específicos? | BRLTTY;Orca;G-Braille;LibBraille;BrailleX
[LPIC-1] Qual comando exibe informações sobre as janelas do servidor X, como ID e geometria, ao clicar nelas? | xwininfo;xdpyinfo;xprop;xlsfonts;xmessage
[LPIC-1] Qual seção do arquivo xorg.conf define os drivers e as configurações da placa de vídeo? | Section "Device";Section "Monitor";Section "Screen";Section "InputDevice";Section "Files"
[LPIC-1] Qual seção do arquivo xorg.conf une um Monitor e um Device (placa) para definir a resolução? | Section "Screen";Section "ServerLayout";Section "Display";Section "Module";Section "Graphics"
[LPIC-1] Qual comando permite ver as propriedades (como o nome da classe) de uma janela no X11? | xprop;xwininfo;xlsclients;xset;xev
[LPIC-1] Qual comando abre uma pequena janela que mostra eventos de teclado e mouse em tempo real? | xev;xwatch;xinput;xevent;xshow
[LPIC-1] Qual serviço de rede antigo permitia acesso remoto a desktops gráficos antes do VNC/RDP? | XDMCP;SSH;Telnet;HTTP;FTP
[LPIC-1] Qual porta base o servidor X utiliza para conexões de rede (ex: Display 0)? | 6000;5900;22;80;110
[LPIC-1] Qual ambiente de desktop é escrito em Qt e foca em customização extrema? | KDE Plasma;GNOME;Xfce;MATE;LXDE
[LPIC-1] Qual ambiente de desktop surgiu como um fork do GNOME 2 para manter a interface clássica? | MATE;Cinnamon;Xfce;LXQt;Budgie
[LPIC-1] Qual protocolo é usado para acesso remoto e compartilha o desktop através de "framebuffers"? | VNC;RDP;SSH;XDMCP;SPICE
[LPIC-1] Qual comando exibe todas as interfaces de rede ativas e seus endereços IP (método clássico)? | ifconfig e ip addr;ifconfig;ip addr;netstat -i;route -n
[LPIC-1] Qual utilitário moderno da suíte 'iproute2' é recomendado para gerenciar endereços IP e rotas no Linux? | ip;ifconfig;route;netstat;arp
[LPIC-1] Qual comando é usado para verificar a conectividade básica de rede enviando pacotes ICMP Echo Request? | ping;tracepath;netstat;host;dig
[LPIC-1] Qual arquivo de configuração armazena os endereços dos servidores DNS que o sistema deve consultar? | /etc/resolv.conf;/etc/hosts;/etc/networks;/etc/hostname;/etc/nsswitch.conf
[LPIC-1] Qual arquivo permite mapear nomes de host para endereços IP localmente, sem consulta ao DNS? | /etc/hosts;/etc/resolv.conf;/etc/hostname;/etc/networks;/etc/services
[LPIC-1] Qual comando exibe a rota percorrida por um pacote até o destino, mostrando cada salto (hop)? | traceroute e tracepath;traceroute;tracepath;mtr;ping -r
[LPIC-1] Qual comando exibe a tabela de roteamento IP do kernel atual? | route -n e ip route show e netstat -r;route -n;ip route show;netstat -r;ip addr
[LPIC-1] Qual comando é usado para configurar ou exibir o nome do host (hostname) do sistema? | hostname e hostnamectl;hostname;hostnamectl;uname -n;set-hostname
[LPIC-1] Qual porta padrão é utilizada pelo serviço SSH? | 22;21;23;25;80
[LPIC-1] Qual porta padrão é utilizada pelo serviço HTTP? | 80;443;8080;21;22
[LPIC-1] Qual porta padrão é utilizada pelo serviço HTTPS (SSL/TLS)? | 443;80;8443;22;53
[LPIC-1] Qual porta padrão é utilizada pelo serviço DNS (consultas)? | 53;67;68;123;161
[LPIC-1] Qual protocolo é usado para atribuir endereços IP automaticamente aos dispositivos na rede? | DHCP;DNS;FTP;SNMP;ICMP
[LPIC-1] Qual porta é utilizada pelo protocolo DHCP (servidor)? | 67;68;53;123;161
[LPIC-1] Qual comando exibe as conexões de rede ativas, tabelas de roteamento e estatísticas de interface? | netstat e ss;netstat;ss;ip link;ifstat
[LPIC-1] Qual utilitário moderno substitui o 'netstat' para visualizar sockets e conexões de rede? | ss;ip;nmcli;nstat;tcpdump
[LPIC-1] Qual arquivo de configuração define a ordem de consulta para resolução de nomes (ex: primeiro hosts, depois dns)? | /etc/nsswitch.conf;/etc/resolv.conf;/etc/hosts;/etc/host.conf;/etc/networks
[LPIC-1] Qual comando é usado para realizar consultas DNS detalhadas, como registros MX ou NS? | dig,host e nslookup;dig;host;nslookup;getent
[LPIC-1] Qual comando exibe o endereço MAC (físico) de uma interface de rede? | ip link show e ifconfig;ip link show;ifconfig;arp -a;netstat -i
[LPIC-1] Qual comando exibe ou gerencia a tabela ARP (mapeamento IP para MAC) do sistema? | arp e ip neigh;arp;ip neigh;netstat -a;route -e
[LPIC-1] Qual arquivo contém a lista de nomes de serviços e suas respectivas portas e protocolos (TCP/UDP)? | /etc/services;/etc/networks;/etc/protocols;/etc/nsswitch.conf;/etc/hosts
[LPIC-1] Qual comando ativa uma interface de rede específica (ex: eth0)? | ifup eth0 e ip link set eth0 up;ifup eth0;ip link set eth0 up;ifconfig eth0 start;net-start eth0
[LPIC-1] Qual comando desativa uma interface de rede específica? | ifdown eth0 e ip link set eth0 down;ifdown eth0;ip link set eth0 down;ifconfig eth0 stop;net-stop eth0
[LPIC-1] Qual comando do 'nmcli' (NetworkManager) exibe o status de todas as conexões de rede? | nmcli connection show e nmcli device status;nmcli connection show;nmcli device status;nmcli general;nmcli networking
[LPIC-1] Qual o endereço de loopback IPv4 padrão? | 127.0.0.1;192.168.0.1;10.0.0.1;0.0.0.0;255.255.255.255
[LPIC-1] Qual o endereço de loopback IPv6 padrão? | ::1 e 0:0:0:0:0:0:0:1;::1;0:0:0:0:0:0:0:1;fe80::1;ff02::1
[LPIC-1] Qual comando é usado para adicionar um gateway padrão (default gateway) via linha de comando? | route add default gw IP e ip route add default via IP;route add default gw IP;ip route add default via IP;ifconfig gw IP;netstat -g IP
[LPIC-1] Qual protocolo é usado para sincronizar o relógio do sistema via rede? | NTP;SNMP;SMTP;DNS;DHCP
[LPIC-1] Qual porta é utilizada pelo protocolo NTP? | 123;161;53;67;443
[LPIC-1] Qual comando 'hostnamectl' define permanentemente o nome do host como 'servidor01'? | echo servidor01 > /etc/hostname e hostnamectl set-hostname servidor01;hostname servidor01;echo servidor01 > /etc/hostname;hostnamectl -s servidor01;hostnamectl set-hostname servidor01
[LPIC-1] Qual comando exibe estatísticas de rede em tempo real, similar ao comando 'top'? | nload e ifstat e iptraf;nload;ifstat;iptraf;netstat -t
[LPIC-1] Qual opção do 'netstat' ou 'ss' mostra os processos (PID/Nome) que estão usando cada porta? | -p;-l;-t;-u;-n
[LPIC-1] Qual opção do 'netstat' ou 'ss' exibe endereços e portas de forma numérica (sem resolver nomes)? | -n;-p;-l;-r;-a
[LPIC-1] Qual comando é usado para capturar e analisar pacotes que passam pela interface de rede? | tcpdump e wireshark;tcpdump;wireshark;nmap;netcat
[LPIC-1] Qual utilitário é conhecido como o "canivete suíço" do TCP/IP, capaz de ler e escrever dados em conexões de rede? | nc (netcat) e socat;nmap;telnet;socat;nc (netcat)
[LPIC-1] Qual comando 'ip' remove o endereço IP 192.168.1.50 da interface eth0? | ip addr del 192.168.1.50/24 dev eth0;ip addr remove 192.168.1.50;ifconfig eth0 del 192.168.1.50;ip link delete eth0;ip route del 192.168.1.50
[LPIC-1] Qual arquivo de configuração (em distros Debian/Ubuntu antigas) define as interfaces de rede? | /etc/network/interfaces;/etc/sysconfig/network-scripts/;/etc/networks;/etc/netplan/;/etc/resolv.conf
[LPIC-1] Qual ferramenta do Ubuntu moderno utiliza arquivos YAML para configurar a rede? | Netplan;NetworkManager;ifupdown;systemd-networkd;iproute2
[LPIC-1] Qual comando aplica as configurações feitas nos arquivos do Netplan? | netplan apply e netplan try;netplan apply;netplan try;systemctl restart network;ifup -a
