# Instalacao e Gerenciamento De Pacotes
[LPIC-1] Qual o comando completo do yum para instalar o pacote nmap? | yum install nmap;yum show nmap;yum remove nmap;yum search nmap;yum whatsprovides nmap
[LPIC-1] Qual comando lista todos os arquivos instalados por um pacote RPM já instalado? | rpm -ql;rpm -qf;rpm -qa;rpm -qi;rpm -Vp
[LPIC-1] Qual opção do comando dpkg remove um pacote e seus arquivos de configuração? | --purge;--remove;--install;--list;--status
[LPIC-1] Qual utilitário Debian gerencia pacotes e resolve dependências via linha de comando? | apt-get;dpkg;apt-cache;dselect;apt-config
[LPIC-1] Onde são armazenados os endereços dos repositórios do utilitário APT? | /etc/apt/sources.list;/etc/apt/apt.conf;/etc/yum.repos.d/;/var/lib/dpkg/;/etc/dpkg/dpkg.cfg
[LPIC-1] Qual comando RPM verifica a integridade de todos os pacotes instalados? | rpm -Va;rpm -qa;rpm -qi;rpm -Vp;rpm -Vf
[LPIC-1] Qual comando exibe informações de um pacote Debian não instalado? | apt-cache show;dpkg -s;apt-get info;apt-cache policy;dpkg -L
[LPIC-1] Qual variável define o caminho das bibliotecas compartilhadas? | LD_LIBRARY_PATH;PATH;LIB_PATH;SHARED_LIB;LD_PRELOAD
[LPIC-1] Qual comando extrai arquivos de um pacote .deb sem instalá-lo? | dpkg-deb -x;dpkg -i;apt-get extract;dpkg-deb -e;dpkg -r
[LPIC-1] Qual arquivo do YUM define opções globais e repositórios? | /etc/yum.conf;/etc/yum.repos.d/;/var/log/yum.log;/etc/rpm/yum.conf;/etc/yum.conf.d
[LPIC-1] Qual comando atualiza a base de dados de bibliotecas compartilhadas? | ldconfig;ldd;libs-update;libconfig;ld.so.conf
[LPIC-1] Qual utilitário converte pacotes entre diferentes formatos (ex: .rpm para .deb)? | alien;convert;pkg-trans;rpm2deb;package-convert
[LPIC-1] Qual comando do YUM encontra qual pacote fornece um determinado arquivo? | yum provides;yum search;yum info;yum list;yum check-update
[LPIC-1] Qual comando RPM instala um pacote exibindo barras de progresso (#)? | rpm -ivh;rpm -i;rpm -U;rpm -q;rpm -F
[LPIC-1] Qual comando RPM remove um pacote instalado? | rpm -e;rpm -r;rpm -d;rpm --delete;rpm -u
[LPIC-1] Qual comando lista as bibliotecas compartilhadas exigidas por um binário? | ldd;ldconfig;liblist;ls -lib;ld-ls
[LPIC-1] No Debian, qual comando reconfigura um pacote já instalado? | dpkg-reconfigure;dpkg-config;apt-reconfig;reconfigure-package;dpkg-setup
[LPIC-1] Qual opção do RPM atualiza um pacote ou o instala caso não exista? | -U;-i;-F;-u;-v
[LPIC-1] Qual comando APT limpa o cache de pacotes baixados? | apt-get clean;apt-get autoclean;apt-get purge;apt-get autoremove;apt-get update
[LPIC-1] Qual comando RPM identifica qual pacote instalou um arquivo específico? | rpm -qf;rpm -ql;rpm -qc;rpm -qi;rpm -qa
[LPIC-1] Qual comando do APT-GET instala as versões mais recentes de todos os pacotes, removendo os antigos se necessário? | dist-upgrade;upgrade;update;install;full-upgrade
[LPIC-1] Qual opção do RPM é usada para verificar apenas um arquivo de pacote específico em disco (.rpm)? | -Vp;-Va;-Vf;-Vg;-V
[LPIC-1] Qual comando do YUM remove um pacote e também apaga os arquivos de configuração? | erase;remove;purge;clean;autoremove
[LPIC-1] Onde fica o cache de arquivos .deb baixados pelo APT no Debian? | /var/cache/apt/archives/;/var/lib/apt/lists/;/etc/apt/sources.list.d/;/usr/src/packages/;/var/log/apt/
[LPIC-1] Qual comando lista as dependências de um pacote RPM ainda não instalado? | rpm -qpR;rpm -qR;rpm -ql;rpm -qd;rpm -qc
[LPIC-1] No Debian, qual utilitário interativo em modo texto (ncurses) é usado para gerenciar pacotes? | dselect;aptitude;dpkg;apt-get;tasksel
[LPIC-1] Qual opção do comando dpkg lista o conteúdo de um pacote .deb? | -L;-l;-s;-i;-C
