# Comandos Básicos, Processos e Localização
[LPIC-1] Qual comando exibe o tipo de um ficheiro (ex: se é texto, executável ou imagem)? | file;type;whereis;which;find
[LPIC-1] Qual comando é usado para encontrar ficheiros em tempo real percorrendo a árvore de directórios? | find;ls;du;type;df
[LPIC-1] Qual diretório contém os arquivos de configuração do sistema? | /etc;/var;/usr;/bin;/home
[LPIC-1] Qual comando é usado para mudar o dono de um arquivo? | chown;chmod;chgrp;umask;chroot
[LPIC-1] Qual sinal é enviado pelo comando 'kill -9'? | SIGKILL;SIGTERM;SIGINT;SIGHUP;SIGSTOP
[LPIC-1] Qual sinal é enviado pelo comando 'kill' por padrão quando nenhum sinal é especificado? | SIGTERM;SIGKILL;SIGINT;SIGHUP;SIGSTOP
[LPIC-1] Qual comando é usado para alterar a prioridade de um processo que JÁ está em execução? | renice;nice;top;ps;kill
[LPIC-1] Qual o valor de 'nice' padrão para um processo iniciado por um usuário comum? | 0;10;-20;19;-10
[LPIC-1] Qual comando exibe uma visão dinâmica e em tempo real dos processos e do uso de CPU? | top;ps;free;uptime;vmstat
[LPIC-1] Qual sinal (número ou nome) força a interrupção IMEDIATA de um processo sem permitir limpeza? | 9;15;1;2;19
[LPIC-1] Qual opção do comando 'ps' é usada para exibir todos os processos do sistema de todos os usuários? | aux;-e;--self;-l;list
[LPIC-1] Qual utilitário permite que um processo continue rodando mesmo após o usuário fazer logout? | nohup;bg;fg;jobs;stop
[LPIC-1] Qual o intervalo de valores possíveis para a prioridade 'nice' no Linux? | -20 a 19;0 a 100;-10 a 10;1 a 99;-100 a 100
[LPIC-1] Qual comando lista os processos que pertencem à sessão atual do terminal? | jobs;top;ps aux;kill -l;free
[LPIC-1] Qual tecla, dentro do comando 'top', permite alterar o 'nice' de um processo sem sair do programa? | r;k;n;p;q
[LPIC-1] Qual comando exibe as configurações atuais de localidade (língua, país, encoding)? | locale;localectl;setlocale;lang;charset
[LPIC-1] Qual variável de ambiente define o idioma padrão do sistema? | LANG;LANGUAGE;LC_ALL;LC_LANG;LOCALE
[LPIC-1] Qual subvariável de 'locale' define o formato de data e hora? | LC_TIME;LC_DATE;LC_CALENDAR;LC_MESSAGES;LC_NUMERIC
[LPIC-1] Qual comando é usado para alterar temporariamente o layout do teclado no X11? | setxkbmap;loadkeys;localectl;xmodmap;kbdconfig
[LPIC-1] Qual opção do comando 'locale' lista todos os idiomas instalados e disponíveis? | -a;--list;-l;-i;--all
